datetime,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
2015-01-01 00:00:00,,13.1,8,4.2,,,3.7,4.5,,5.6,,,,
2015-01-01 01:00:00,,12.9,7.3,4.0,,,4.0,5.5,,5.8,,,,
2015-01-01 02:00:00,,11.6,7.7,3.8,,,4.5,5.0,,5.9,,,,
2015-01-01 03:00:00,,11.8,8.5,3.5,,,4.9,4.3,,5.7,,,,
2015-01-01 04:00:00,,11.1,8,3.6,,,4.3,3.7,,5.7,,,,
2015-01-01 05:00:00,,8.9,7.4,2.9,,,3.3,4.4,,5.6,,,,
2015-01-01 06:00:00,,8.4,7.3,2.6,,,2.5,4.3,,5.5,,,,
2015-01-01 07:00:00,,9.8,7.4,2.6,,,3.2,3.7,,5.5,,,,
2015-01-01 08:00:00,,10.2,7.2,2.5,,,3.0,5.1,,5.1,,,,
2015-01-01 09:00:00,,8.2,6.8,2.3,,,3.5,4.9,,4.9,,,,
2015-01-01 10:00:00,,8.3,7,2.6,,,3.6,6.4,,5.0,,,,
2015-01-01 11:00:00,,8.9,7.5,3.0,,,6.8,5.1,,4.8,,,,
2015-01-01 12:00:00,,10.1,9.6,3.8,,,6.2,6.3,,5.3,,,,
2015-01-01 13:00:00,,12.3,9.8,4.4,,,6.0,6.1,,7.1,,,,
2015-01-01 14:00:00,,13.5,11.2,5.1,,,10.3,6.5,,7.5,,,,
2015-01-01 15:00:00,,12.8,12.5,5.6,,,11.7,6.1,,8.2,,,,
2015-01-01 16:00:00,,14.0,12.7,5.9,,,10.1,6.7,,9.0,,,,
2015-01-01 17:00:00,,17.7,13,5.4,,,10.8,8.8,,8.9,,,,
2015-01-01 18:00:00,,18.6,12.8,5.5,,,10.5,11.6,,9.0,,,,
2015-01-01 19:00:00,,18.0,11.4,4.9,,,8.4,14.0,,8.8,,,,
2015-01-01 20:00:00,,11.6,7.6,4.3,,,8.1,13.5,,8.3,,,,
2015-01-01 21:00:00,,11.3,6.8,3.4,,,7.7,13.1,,6.6,,,,
2015-01-01 22:00:00,,11.3,6.2,3.4,,,7.1,10.2,,5.7,,,,
2015-01-01 23:00:00,,9.9,6,3.1,,,7.1,9.3,,5.2,,,,
2015-01-02 00:00:00,,8.1,6.6,3.2,,,6.5,9.6,,5.2,,,,
2015-01-02 01:00:00,,9.4,6.4,3.2,,,4.8,9.8,,5.1,,,,
2015-01-02 02:00:00,,8.5,6.3,2.9,,,2.5,6.6,,4.8,,,,
2015-01-02 03:00:00,,7.6,5.4,2.8,,,2.6,3.6,,4.5,,,,
2015-01-02 04:00:00,,7.8,5,2.4,,,2.7,4.8,,4.5,,,,
2015-01-02 05:00:00,,8.5,5.7,2.8,,,3.1,4.8,,4.7,,,,
2015-01-02 06:00:00,,11.2,6.1,3.0,,,5.1,4.7,,4.8,,,,
2015-01-02 07:00:00,,12.3,6.5,3.0,,,6.5,5.9,,4.7,,,,
2015-01-02 08:00:00,,12.8,7,3.1,,,7.4,6.8,,5.2,,,,
2015-01-02 09:00:00,,12.6,8.2,3.4,,,7.6,8.7,,5.5,,,,
2015-01-02 10:00:00,,11.2,9,3.6,,,8.2,7.8,,6.2,,,,
2015-01-02 11:00:00,,11.9,8.6,4.2,,,7.4,6.4,,6.9,,,,
2015-01-02 12:00:00,,12.2,9.7,4.6,,,9.2,7.9,,6.8,,,,
2015-01-02 13:00:00,,14.9,10.6,4.6,,,11.0,12.7,,7.7,,,,
2015-01-02 14:00:00,,15.5,11.6,4.3,,,11.3,14.6,,8.7,,,,
2015-01-02 15:00:00,,15.5,11.4,5.0,,,10.7,16.1,,8.8,,,,
2015-01-02 16:00:00,,16.9,10.8,4.8,,,10.3,18.9,,9.0,,,,
2015-01-02 17:00:00,,19.9,9.8,4.6,,,11.3,20.5,,9.1,,,,
2015-01-02 18:00:00,,15.5,7.1,5.0,,,12.3,23.9,,7.8,,,,
2015-01-02 19:00:00,,14.7,6.8,5.0,,,11.5,23.4,,6.5,,,,
2015-01-02 20:00:00,,15.3,7.2,4.5,,,9.7,20.7,,6.1,,,,
2015-01-02 21:00:00,,16.3,7.1,4.1,,,9.4,17.2,,6.1,,,,
2015-01-02 22:00:00,,15.9,7.9,4.0,,,9.3,15.7,,6.5,,,,
2015-01-02 23:00:00,,15.0,8.2,4.0,,,8.1,13.6,,6.1,,,,
2015-01-03 00:00:00,,11.9,8.3,3.8,,,6.2,10.4,,6.0,,,,
2015-01-03 01:00:00,,11.0,8.3,3.1,,,5.4,8.4,,6.4,,,,
2015-01-03 02:00:00,,9.7,7.2,3.1,,,6.4,7.5,,7.0,,,,
2015-01-03 03:00:00,,12.0,7.2,3.1,,,7.3,7.9,,8.2,,,,
2015-01-03 04:00:00,,13.5,9.5,4.4,,,7.5,8.5,,8.4,,,,
2015-01-03 05:00:00,,14.9,10.4,4.4,,,8.3,10.2,,8.7,,,,
2015-01-03 06:00:00,,18.6,11.4,4.1,,,11.0,16.6,,7.9,,,,
