datetime,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
2015-01-01 00:00:00,,21.9,10.6,9.2,,,6.6,6.2,,12.8,,,,
2015-01-01 01:00:00,,23.1,10.3,10.1,,,6.8,7.0,,14.4,,,,
2015-01-01 02:00:00,,20.8,11.8,9.3,,,8.0,7.0,,17.9,,,,
2015-01-01 03:00:00,,19.9,18.8,8.3,,,7.8,6.2,,18.1,,,,
2015-01-01 04:00:00,,17.8,14.9,7.9,,,7.3,4.9,,17.2,,,,
2015-01-01 05:00:00,,14.2,15.3,6.5,,,5.9,5.9,,16.1,,,,
2015-01-01 06:00:00,,13.1,12.8,6.2,,,4.2,6.4,,16.3,,,,
2015-01-01 07:00:00,,15.6,17.1,5.8,,,4.7,5.6,,16.6,,,,
2015-01-01 08:00:00,,17.4,17.7,6.1,,,4.5,7.0,,18.1,,,,
2015-01-01 09:00:00,,14.0,18.3,6.2,,,6.1,7.2,,17.9,,,,
2015-01-01 10:00:00,,15.9,19.7,7.2,,,8.4,8.3,,19.4,,,,
2015-01-01 11:00:00,,18.7,21.6,8.6,,,17.8,7.1,,19.5,,,,
2015-01-01 12:00:00,,20.1,44.7,10.4,,,14.2,9.2,,20.1,,,,
2015-01-01 13:00:00,,23.8,32.2,11.7,,,12.7,8.7,,32.8,,,,
2015-01-01 14:00:00,,25.5,30.5,12.5,,,24.7,7.9,,31.3,,,,
2015-01-01 15:00:00,,23.3,30.5,12.0,,,25.1,9.3,,24.5,,,,
2015-01-01 16:00:00,,25.4,27.0,12.8,,,19.0,11.2,,24.5,,,,
2015-01-01 17:00:00,,33.8,28.5,12.3,,,21.5,10.8,,25.2,,,,
2015-01-01 18:00:00,,33.4,31.9,13.0,,,20.1,13.9,,26.0,,,,
2015-01-01 19:00:00,,39.2,28.1,11.8,,,19.4,17.2,,28.3,,,,
2015-01-01 20:00:00,,29.8,20.4,11.3,,,22.2,16.4,,26.6,,,,
2015-01-01 21:00:00,,24.4,18.7,9.7,,,24.2,16.2,,27.0,,,,
2015-01-01 22:00:00,,21.0,16.8,12.4,,,21.5,13.3,,27.7,,,,
2015-01-01 23:00:00,,16.2,12.6,9.3,,,17.0,11.9,,23.2,,,,
2015-01-02 00:00:00,,13.1,20.2,8.7,,,11.8,11.7,,20.1,,,,
2015-01-02 01:00:00,,14.4,14.4,7.4,,,7.4,12.3,,16.0,,,,
2015-01-02 02:00:00,,12.3,12.8,6.5,,,4.3,10.0,,13.5,,,,
2015-01-02 03:00:00,,11.3,9.3,5.7,,,4.2,8.8,,12.1,,,,
2015-01-02 04:00:00,,12.0,7.6,5.4,,,4.5,7.9,,13.2,,,,
2015-01-02 05:00:00,,13.3,12.7,7.3,,,5.2,8.4,,13.8,,,,
2015-01-02 06:00:00,,19.3,15.1,9.1,,,9.4,7.9,,20.6,,,,
2015-01-02 07:00:00,,23.9,21.9,11.0,,,16.2,9.9,,22.1,,,,
2015-01-02 08:00:00,,28.1,31.7,14.2,,,24.5,10.6,,28.7,,,,
2015-01-02 09:00:00,,34.7,38.4,14.8,,,25.4,11.3,,34.6,,,,
2015-01-02 10:00:00,,27.9,40.2,15.1,,,29.8,10.0,,36.9,,,,
2015-01-02 11:00:00,,31.2,32.3,17.7,,,25.3,9.7,,33.4,,,,
