datetime,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
2015-01-01 00:00:00,,,17.0,,,,,,,,,,,
2015-01-01 01:00:00,,80.0,27.0,169.0,,,,,,15.0,,,,
2015-01-01 02:00:00,,29.0,21.0,60.0,,,,,,,,,,
2015-01-01 03:00:00,,9.0,8.0,26.0,,,,,,,,,,
2015-01-01 04:00:00,,,5.0,17.0,,,,6.0,,,,,,
2015-01-01 05:00:00,,14.0,7.0,17.0,,,,,,,,,,
2015-01-01 06:00:00,,,,5.0,,,,,,,,,,
2015-01-01 07:00:00,,,15.0,6.0,,,,,,,,,,
2015-01-01 08:00:00,,8.0,10.0,,,,,,,,,,,
2015-01-01 09:00:00,,6.0,9.0,7.0,,,,9.0,,,,,,
2015-01-01 10:00:00,,,14.0,5.0,,,,,,14.0,,,,
2015-01-01 11:00:00,,10.0,8.0,,,,,,,,,,,
2015-01-01 12:00:00,,17.0,28.0,17.0,,,,,,,,,,
2015-01-01 13:00:00,,16.0,43.0,34.0,,,,14.0,,,,,,
2015-01-01 14:00:00,,19.0,34.0,39.0,,,,10.0,,29.0,,,,
2015-01-01 15:00:00,,35.0,42.0,59.0,,,,10.0,,24.0,,,,
2015-01-01 16:00:00,,15.0,42.0,47.0,,,,16.0,,26.0,,,,
2015-01-01 17:00:00,,36.0,39.0,57.0,,,,19.0,,27.0,,,,
2015-01-01 18:00:00,,37.0,35.0,62.0,,,,13.0,,25.0,,,,
2015-01-01 19:00:00,,33.0,42.0,49.0,,,,23.0,,26.0,,,,
2015-01-01 20:00:00,,10.0,26.0,39.0,,,,23.0,,23.0,,,,
2015-01-01 21:00:00,,,8.0,31.0,,,,17.0,,23.0,,,,
2015-01-01 22:00:00,,14.0,16.0,18.0,,,,8.0,,16.0,,,,
2015-01-01 23:00:00,,6.0,7.0,10.0,,,,7.0,,13.0,,,,
2015-01-02 00:00:00,,12.0,7.0,5.0,,,,,,13.0,,,,
2015-01-02 01:00:00,,11.0,,,,,,,,,,,,
2015-01-02 02:00:00,,12.0,,,,,,5.0,,,,,,
2015-01-02 03:00:00,,,,,,,,,,,,,,
2015-01-02 04:00:00,,,5.0,,,,,,,,,,,
2015-01-02 05:00:00,,,,,,,,,,,,,,
2015-01-02 06:00:00,,5.0,10.0,,,,,,,,,,,
2015-01-02 07:00:00,,,8.0,,,,,,,,,,,
2015-01-02 08:00:00,,12.0,11.0,7.0,,,,5.0,,14.0,,,,
2015-01-02 09:00:00,,13.0,21.0,19.0,,,,,,19.0,,,,
2015-01-02 10:00:00,,,22.0,28.0,,,,,,25.0,,,,
2015-01-02 11:00:00,,,15.0,38.0,,,,,,27.0,,,,
2015-01-02 12:00:00,,10.0,22.0,39.0,,,,,,16.0,,,,
2015-01-02 13:00:00,,14.0,24.0,47.0,,,,16.0,,23.0,,,,
2015-01-02 14:00:00,,52.0,22.0,38.0,,,,17.0,,23.0,,,,
2015-01-02 15:00:00,,26.0,32.0,32.0,,,,18.0,,25.0,,,,
2015-01-02 16:00:00,,30.0,33.0,37.0,,,,26.0,,31.0,,,,
2015-01-02 17:00:00,,29.0,29.0,39.0,,,,29.0,,25.0,,,,
2015-01-02 18:00:00,,29.0,14.0,34.0,,,,21.0,,23.0,,,,
2015-01-02 19:00:00,,20.0,,23.0,,,,25.0,,22.0,,,,
2015-01-02 20:00:00,,28.0,6.0,30.0,,,,20.0,,18.0,,,,
2015-01-02 21:00:00,,40.0,11.0,31.0,,,,,,19.0,,,,
2015-01-02 22:00:00,,23.0,12.0,18.0,,,,18.0,,14.0,,,,
2015-01-02 23:00:00,,15.0,,13.0,,,,,,13.0,,,,
2015-01-03 00:00:00,,,19.0,20.0,,,,7.0,,,,,,
2015-01-03 01:00:00,,,37.0,14.0,,,,5.0,,,,,,
2015-01-03 02:00:00,,12.0,30.0,20.0,,,,,,17.0,,,,
2015-01-03 03:00:00,,,34.0,18.0,,,,6.0,,17.0,,,,
2015-01-03 04:00:00,,13.0,39.0,9.0,,,,,,27.0,,,,
2015-01-03 05:00:00,,10.0,31.0,29.0,,,,11.0,,30.0,,,,
2015-01-03 06:00:00,,6.0,42.0,20.0,,,,15.0,,23.0,,,,
2015-01-03 07:00:00,,12.0,43.0,24.0,,,,23.0,,23.0,,,,
2015-01-03 08:00:00,,11.0,62.0,23.0,,,,27.0,,27.0,,,,
2015-01-03 09:00:00,,27.0,57.0,30.0,,,,22.0,,26.0,,,,
2015-01-03 10:00:00,,35.0,84.0,45.0,,,,16.0,,23.0,,,,
2015-01-03 11:00:00,,6.0,58.0,56.0,,,,29.0,,44.0,,,,
2015-01-03 12:00:00,,39.0,60.0,43.0,,,,20.0,,42.0,,,,
2015-01-03 13:00:00,,30.0,51.0,37.0,,,,9.0,,47.0,,,,
2015-01-03 14:00:00,,14.0,46.0,43.0,,,,,,44.0,,,,
2015-01-03 15:00:00,,,28.0,36.0,,,,5.0,,39.0,,,,
2015-01-03 16:00:00,,10.0,58.0,48.0,,,,17.0,,27.0,,,,
2015-01-03 17:00:00,,71.0,66.0,82.0,,,,48.0,,48.0,,,,
2015-01-03 18:00:00,,89.0,71.0,99.0,,,,65.0,,53.0,,,,
2015-01-03 19:00:00,,94.0,70.0,114.0,,,,71.0,,41.0,,,,
2015-01-03 20:00:00,,119.0,59.0,148.0,,,,81.0,,41.0,,,,
2015-01-03 21:00:00,,68.0,63.0,184.0,,,,62.0,,36.0,,,,
2015-01-03 22:00:00,,81.0,57.0,110.0,,,,78.0,,40.0,,,,
2015-01-03 23:00:00,,133.0,68.0,141.0,,,,55.0,,57.0,,,,
2015-01-04 00:00:00,,118.0,71.0,105.0,,,,36.0,,39.0,,,,
2015-01-04 01:00:00,,53.0,73.0,97.0,,,,,,43.0,,,,
2015-01-04 02:00:00,,68.0,78.0,71.0,,,,29.0,,38.0,,,,
2015-01-04 03:00:00,,68.0,50.0,40.0,,,,42.0,,30.0,,,,
2015-01-04 04:00:00,,60.0,31.0,48.0,,,,67.0,,21.0,,,,
2015-01-04 05:00:00,,60.0,30.0,36.0,,,,65.0,,,,,,
2015-01-04 06:00:00,,49.0,28.0,35.0,,,,38.0,,,,,,
